Name, Description
01.jpg, Glass roughly cut
02.jpg, Testing sounds
03.jpg, Woods cut to size
04.jpg, Measuring the resonance box
05.jpg, Measuring and screwing the resonance box
06.jpg, ""
07.jpg, ""
08.jpg, Gluing ans screwing the resonance box together
09.jpg, ""
10.jpg, Measuring foam cloth
11.jpg, Foam cloth
12.jpg, ""
13.jpg, Gluing foam cloth
14.jpg, ""
15.jpg, Testing sound
16.jpg, Sticking fastening tape into the keys
17.jpg, Sticking fastening tape into the keys
18.jpg, Sticking fastening tape into the keys
19.jpg, Test drive!
20.jpg, Varnish prep
21.jpg, Varnishing
22.jpg, ""
23.jpg, Piece that holds and levels the resonant boxes
24.jpg, Second levelling piece
25.jpg, Legs
26.jpg, Wheels on legs
27.jpg, Testing assembly
28.jpg, Finishing touches
29.jpg, Assembled!
30.jpg, Finished instrument
